name	unique reads 32150759_EXO_S26 32150759_EXO_S26	32150759_EXO_S26	32150759_EXO_S26 (mult. map. adj.)	32150759_EXO_S2632150759_EXO_S26(lib)	32150759_EXO_S2632150759_EXO_S26(total)	coordinateString 32150759_EXO_S26 32150759_EXO_S26	32150759_EXO_S26 (lib)	32150759_EXO_S26 (total)
Homo_sapiens_chr6.trna149-LysTTT:tRNA	8.0	222.0	111.0	241304.34782608695	116.96461030236932	6:hsa;Homo_sapiens_chr6.trna149-LysTTT:tRNA,27334990,27335062,-	120652.17391304347	58.48230515118466
Homo_sapiens_chr6.trna118-LysTTT:tRNA	8.0	222.0	111.0	241304.34782608695	116.96461030236932	6:hsa;Homo_sapiens_chr6.trna118-LysTTT:tRNA,28693210,28693283,-	120652.17391304347	58.48230515118466
Homo_sapiens_chrX.trna4-ValTAC:tRNA	4.0	192.0	32.0	208695.65217391303	101.15858188313022	11:hsa;Homo_sapiens_chrX.trna4-ValTAC:tRNA,59550629,59550701,-	34782.608695652176	16.85976364718837
Homo_sapiens_chrX.trna4-ValTAC:tRNA	4.0	192.0	32.0	208695.65217391303	101.15858188313022	X:hsa;Homo_sapiens_chrX.trna4-ValTAC:tRNA,18674909,18674981,-	34782.608695652176	16.85976364718837
Homo_sapiens_chr10.trna6-ValTAC:tRNA	4.0	192.0	32.0	208695.65217391303	101.15858188313022	10:hsa;Homo_sapiens_chr10.trna6-ValTAC:tRNA,5853711,5853783,-	34782.608695652176	16.85976364718837
Homo_sapiens_chr11.trna17-ValTAC:tRNA	4.0	192.0	32.0	208695.65217391303	101.15858188313022	X:hsa;Homo_sapiens_chr11.trna17-ValTAC:tRNA,18674909,18674981,-	34782.608695652176	16.85976364718837
Homo_sapiens_chr11.trna17-ValTAC:tRNA	4.0	192.0	32.0	208695.65217391303	101.15858188313022	11:hsa;Homo_sapiens_chr11.trna17-ValTAC:tRNA,59550629,59550701,-	34782.608695652176	16.85976364718837
Homo_sapiens_chr11.trna16-ValTAC:tRNA	4.0	192.0	32.0	208695.65217391303	101.15858188313022	11:hsa;Homo_sapiens_chr11.trna16-ValTAC:tRNA,59550987,59551059,-	34782.608695652176	16.85976364718837
Homo_sapiens_chr1.trna117-GlyTCC:tRNA	6.0	126.0	3.4054054054054053	136956.52173913043	66.38531936080422	1:hsa;Homo_sapiens_chr1.trna117-GlyTCC:tRNA,161462376,161462447,-	3701.5276145710927	1.794197820562276
Homo_sapiens_chr1.trna45-GlyTCC:tRNA	6.0	126.0	3.4054054054054053	136956.52173913043	66.38531936080422	1:hsa;Homo_sapiens_chr1.trna45-GlyTCC:tRNA,161469757,161469828,-	3701.5276145710927	1.794197820562276
